created_at,text_raw,source,name,content,blogger_name,likes,comment_num,repost_num
2024/12/28 11:51,人不能没有精神食粮[淡淡的],来自北京,努力往上蹦的兔子,,,,,
2024/12/28 13:55,那我反而觉得理科在消亡，就目前来看，宇宙的尽头就是考公,来自安徽,巴伐利亚慕尼黑俱乐部中单选手,,,,,
2024/12/28 11:50,“文科”也许有独特的价值，但“文科生”多半没有,来自上海,倏而今夏___,,,,,
2024/12/28 11:48,人工智能的发展导致文科衰退是必然。但这篇报道中竟然没有提到“人工智能”，这让我感到震惊！,来自内蒙古,洛南洛北,,,,,
2024/12/28 14:02,大学的学科、选择专业已经变成就业趋导和功利主义至上了….挺悲哀的其实。,来自天津,啊吧哩恰恰,,,,,
2024/12/28 11:30,假如文科没有了，那么理科也将不复存在了～,来自福建,Leo大魔王的事,,,,,
2024/12/28 13:54,因为会说话的人太多了[汗] 不需要这么多，只会说不会做的人 [苦涩]我也是文科生,来自山东,江山佐酒,,,,,
2024/12/28 11:46,文科集中了人类思想，艺术，文学之美，一直不懂学理科有什么用！,来自上海,地球是我们大家共同的家,,,,,
2024/12/28 12:02,过度失衡，人类文明倒退的前奏。,来自安徽,来自火星的猫猫猫,,,,,
2024/12/28 11:54,核心还是就业问题就不了合适的读了还是没用,来自广东,hokudaisei,,,,,
2024/12/28 14:07,文科的学术研究，确实有作茧自缚、自绝于现实生活的自毁倾向。文学历史哲学不会亡，要亡的是这些学科，是它们的研究范式和出产。,来自河北,闲人看云,,,,,
2024/12/28 2:11,文科消灭，意味传承消失[衰][蜘蛛侠],来自广东,一只飞飞的鹰,,,,,
2024/12/28 12:02,哎[淡淡的],来自湖北,小瓜背西瓜,,,,,
2024/12/28 13:58,不破不立，消亡伴随着新生，万事万物皆如此，岂止一个文科而已,来自广东,自种天然,,,,,
2024/12/28 13:56,我就直接说吧，大多数工作只需要你是个可以随时被替代的螺丝钉,来自北京,djfksfks,,,,,
2024/12/28 11:50,文科的消亡，可能会伴随文化的消亡,来自山东,愚字一得,,,,,
2024/12/28 11:43,标题为伪命题。,来自北京,喜作闲人只谈风月,,,,,
2024/12/28 14:06,转发微博,来自山东,王天定,,,,,
2024/12/28 11:28,转发微博,来自广东,蓝鲸P,,,,,
2024/12/28 13:57,最怕的是文科不会算 理科不会写,来自辽宁,Rainy学法律de日常,,,,,
2024/12/28 11:26,还会回来的，我一直觉得这是个循环,来自辽宁,猪小驴儿,,,,,
2024/12/28 14:05,不可能消亡 就是现在不需要这么多了,来自山东,璞修27,,,,,
2024/12/28 13:58,不太可能[doge],来自河南,取舍法,,,,,
2024/12/28 11:44,三体人,来自浙江,可爱蚌阔精,,,,,
2024/12/27 23:27,先学理工科，再看情况转文科，是个稳妥的策略。,来自赞比亚,装笋子,,,,,
2024/12/28 14:08,这是一种悲哀，从此再无作家,来自福建,这条街最能吃的靓仔,,,,,
2024/12/28 14:04,文理科不也是人为分出来的嘛,来自上海,沐沐鱼游泳,,,,,
2024/12/28 11:52,时代兴盛，思潮涌现才是文科生存的环境。现在生产力的革命提出了新的要求，让人们感觉世界在科技革命中被颠覆，变革生产的学科顺时而兴盛。就业压力使然。,来自北京,西梅亦槑,,,,,
2024/12/28 11:47,世界需要文科生，但是不需要那么多的文科生，现在的文科就是让很多学不好的人混个毕业证。,来自江苏,帷幕Archer,,,,,
2024/12/28 11:44,文科不直接创造物质上的满足,来自广东,枫叶2334wh,,,,,
2024/12/28 11:42,其实，文科是挺有意义的。只是，当今社会，学文科其实是一种奢侈。家境丰厚的人，学文科挺好的。[摊手],来自辽宁,脱口秀杨啵,,,,,
2024/12/28 14:06,我特别想学文科，大学学的材料一点也不喜欢,来自山东,刺客兄弟会大中华区会长,,,,,
2024/12/28 14:04,管他呢，不影响我是牛马,来自河南,杰伦不胖只是水肿而已,,,,,
2024/12/28 14:03,鼓励支持最好能赞助我转码,来自北京,英语系武藏,,,,,
2024/12/28 14:01,互联网发展，已经人均文科生了,来自广东,魚裙o涯,,,,,
2024/12/28 13:56,转发微博,来自辽宁,小熊皆了咪,,,,,
2024/12/28 13:56,321跳,来自福建,退潮一百零八年,,,,,
2024/12/28 13:55,我算是发现了，文科主要靠自学,来自河南,每天都在喝水的路上,,,,,
2024/12/28 13:55,厦大新闻学那个教授怎么不出来了,来自上海,Lydia59417,,,,,
2024/12/28 12:03,所以现在不缺吃不缺喝却心里更痛苦了,来自河北,昵重名称不可用,,,,,
2024/12/28 12:02,“新闻学魅力时刻”[笑哈哈],来自日本,前列腺素大王,,,,,
2024/12/28 12:01,纯粹的文科不会像以前那样很火了，文理本来相互交织在一起，谈不上完全消亡。,来自湖南,xing_flare,,,,,
2024/12/28 12:00,最应该消亡的文科专业是新闻学[汗],来自浙江,咿咿呀呀小小七,,,,,
2024/12/28 12:00,所以写标题的人知道“消亡”是什么意思吗？,来自北京,能量悟语,,,,,
2024/12/28 12:00,养不起只会纸上谈兵的学院派了,来自山东,五金工具刀快,,,,,
2024/12/28 11:57,太正常不过，时代潮流的标签,来自上海,青鸟在哪里在哪里,,,,,
2024/12/28 11:56,评论区也是让人意识到了文科的重要性了哈,来自福建,羊粑粑噜噜啦,,,,,
2024/12/28 11:55,难道理科就没问题咯？[doge],来自新疆,淇淇的果枝,,,,,
2024/12/28 11:55,哦豁,来自广东,刚见半,,,,,
2024/12/28 11:51,很悲哀,来自上海,弥失岭晚霞81914,,,,,
2024/12/28 11:50,科技和社会的进步更多的是需要物理化的支撑，这样造就的就业岗位就更多的偏向于理科。是人还是得工作得养家的,来自河北,齐天大圣哎,,,,,
2024/12/28 11:45,太好了是文科我们没救了[亲亲],来自浙江,Potato_Fox,,,,,
2024/12/28 11:44,我觉得刘慈欣的三体可能真的会成为现实了……[苦涩][苦涩],来自山东,天天开心的小源,,,,,
2024/12/28 11:43,人文学科产出没有理工科大，但历史上哲学和科学是密不可分的,来自浙江,正午的植物园,,,,,
2024/12/28 11:43,说实话，拿文科班高中来举例，最能拉开排面就是数学，所以文科考好的人理科一定不会差,来自浙江,秋秋要聰明,,,,,
2024/12/28 11:42,暂时性转到了地下，过上个几十上百年，又可能百家争鸣了[doge],来自浙江,久希cc,,,,,
2024/12/28 11:38,神经,来自浙江,heart-rr,,,,,
2024/12/28 11:37,又不是理科生就一点文科也学不会，现在一些文科偏向综合一点而已,来自山东,大姐姐的小猫咪,,,,,
2024/12/28 11:37,被AI抢占了文科就业市场的份额。,来自天津,LidiaSobieska,,,,,
2024/12/28 11:35,无一例外，大多都是？？,来自江苏,梦为努力浇热水了,,,,,
2024/12/28 11:35,理论和实践要结合啊 少了哪一个都是瘸腿,来自四川,YH_揽月,,,,,
2024/12/28 11:20,精神的世界有时更加强大,来自浙江,黑土芷,,,,,
2024/12/28 11:05,没啥用处呗，倒也正常,来自河南,浅咲心柔,,,,,
2024/12/28 11:23,不是文科在消亡，而是现在只会翻译复读的文科，解释不了现实世界的变化,来自山东,i-九思,,,,,
2024/12/28 11:35,最搞笑的就是知识还分文理,来自江苏,扬G赫南,,,,,
2024/12/28 14:07,新闻学是文科还是理科？,来自云南,拍点JJJJJJK,,,,,
2024/12/28 14:06,先让楼毕业生找到工作，在看能不能消亡,来自湖北,new_user2022,,,,,
2024/12/28 14:05,我弟今年高一刚选课，文科成绩能排年级30左右理科成绩只能排在60，但是他坚决选理科,来自广东,Yb的旋律,,,,,
2024/12/28 13:56,不是文科消亡，而是一些奇奇怪怪的研究型文科专业应该消亡，像文中的莎士比亚研究，马克思研究，性别与性的研究[允悲],来自广东,Anne_ZhaoYan,,,,,
2024/12/28 14:08,这么一个有影响力的号，发这些错误的价值观合适吗？一个社会没有文科，没有人文思想，还怎么进步。任何一种科技革命都需要先进的理论和思想的指导,来自河南,kkw的手指尖,,,,,
2024/12/28 14:06,美国一堆政客都说只准中国留学生去学文科了[嘻嘻],来自四川,用户办公室,,,,,
2024/12/28 14:05,看看评论区有些人糟糕的表达能力和混乱的逻辑，还要梗着脖子说文科该消亡[二哈],来自北京,lililYabbay,,,,,
2024/12/28 13:59,在座那么多贬低文科的理科生，你们可以说说，理科这么好的话那鲁迅为啥还要弃医从文啊？能说出来嘛？不过是因为现在的社会需要的只是打工牛马而非领导而已，所以才会一味贬低文科地位。但凡是在高位者，哪位不是文科大佬，不然怎么会pua得了在座各位理科牛马心甘情愿为他们卖命背书呢。,来自广东,想偷懒的米虫44,,,,,
2024/12/28 13:57,#文科消亡成为一股全球性浪潮# #文科消亡成为一股全球性浪潮# #为何全世界都在拿文科专业开刀# 那些一本烂账的文科知识，莎士比亚还是四书五经，现代人越来越不需要了，人工智能大数据网络，智能手机和新能源汽车，机器人进入到每个人的生活，尽量把时间用于多学现代科学知识，不学没用的文科知识，这,来自海南,科学现代人,,,,,
2024/12/28 13:55,列举出的被取消的课程明明都是在当下还十分重要的。。。左翼消费主义批评和资本主义史不用多说，全球变性史带有对二元性别的思考，北美原住民和拉丁美洲种族形成都带有对美洲本身居住者的关怀，且拉丁美洲当下的种族矛盾也依旧尖锐。。。。且需要变革的并不是文科自己，而是以盈利为目的的教育体系本身,来自山西,En_el_Claro_de_la_Luna,,,,,
2024/12/28 13:55,假设如果没有文科，做一个没有灵魂的人。提出这个观点的，是何居心？怕是要继续维护其统治做出铺垫吧！值得警惕和反思！[拳头][拳头][并不简单][并不简单][鲜花][鲜花],来自广东,夏津,,,,,
2024/12/28 13:55,文科说实话有点废，国家支持理工科也是被国际推着呢[允悲],来自河南,瑶崽血压不高,,,,,
